cd_cliente,nm_cliente,cpf,email,sexo,dt_nascimento,dt_cadastro
49,VITOR CARVALHO SANTOS,57662702895,cliente049@email.com.br,M,1999-01-05,2020-07-24
50,MARIA CUNHA ARAUJO,02621745961,cliente050@email.com.br,F,1998-03-17,2021-11-03
51,CAMILA BARBOSA DIAS,09134316117,cliente051@email.com.br,F,1967-06-18,2023-11-22
52,VANESSA SILVA SANTOS,50455623869,cliente052@email.com.br,F,1990-08-01,2021-01-03
53,JOAO OLIVEIRA RAMOS,69379237474,cliente053@email.com.br,M,1989-11-29,2020-01-20
54,VANESSA GOMES DIAS,21759464743,cliente054@email.com.br,F,1977-04-03,2022-09-16
55,LUIS MARTINS MOURA,59440640909,cliente055@email.com.br,M,1993-06-04,2022-10-14
56,LARISSA PEREIRA RAMOS,53394210470,cliente056@email.com.br,F,1985-12-30,2022-01-17
57,PEDRO GOMES COSTA,62328588424,cliente057@email.com.br,M,2000-12-31,2022-09-13
58,BRUNA COSTA SOUZA,71236851604,cliente058@email.com.br,F,1984-01-26,2020-09-10
59,CAMILA LIMA MOURA,65137098593,cliente059@email.com.br,F,1989-01-19,2020-05-09
60,VANESSA GOMES CARVALHO,12004711382,cliente060@email.com.br,F,1977-06-07,2022-07-18
61,MARIANA DIAS CARVALHO,92617964053,cliente061@email.com.br,F,1979-11-21,2022-06-29
62,VITOR RIBEIRO SOUZA,58506431713,cliente062@email.com.br,M,1988-10-13,2023-08-02
63,CARLOS COSTA PEREIRA,29318393352,cliente063@email.com.br,M,1995-05-18,2023-05-05
64,MARCOS RODRIGUES RODRIGUES,84210205395,cliente064@email.com.br,M,1960-09-15,2020-12-22
65,ANA RODRIGUES CARVALHO,81177589178,cliente065@email.com.br,F,1969-12-08,2023-06-13
66,THIAGO CUNHA GOMES,70076617711,cliente066@email.com.br,M,1974-06-13,2023-05-30
67,PEDRO RODRIGUES LIMA,99856984789,cliente067@email.com.br,M,1979-04-19,2020-07-22
68,VITOR DIAS ALVES,67365766156,cliente068@email.com.br,M,1974-01-07,2023-09-24
69,CAMILA RODRIGUES BARBOSA,11116152809,cliente069@email.com.br,F,1985-03-11,2023-02-24
70,MARIANA SOUZA CARVALHO,56049451983,cliente070@email.com.br,F,1966-12-10,2023-09-06
71,FERNANDA SOUZA RIBEIRO,85149368998,cliente071@email.com.br,F,1961-03-06,2023-06-01
72,ANA FERREIRA LIMA,45502296120,cliente072@email.com.br,F,1964-02-12,2022-12-22
73,FELIPE CARVALHO ARAUJO,52545991022,cliente073@email.com.br,M,1993-11-03,2023-06-19
74,GUSTAVO OLIVEIRA LIMA,76797643815,cliente074@email.com.br,M,1979-04-14,2020-08-15
75,MARIANA MOURA BARBOSA,84036900343,cliente075@email.com.br,F,1994-06-03,2020-10-08
76,PATRICIA COSTA SOUZA,07622683885,cliente076@email.com.br,F,1963-03-26,2022-03-24
77,FELIPE SILVA ARAUJO,15969664160,cliente077@email.com.br,M,1974-07-27,2020-12-17
78,NATALIA RIBEIRO OLIVEIRA,61369681645,cliente078@email.com.br,F,1969-12-09,2021-11-13
79,PEDRO CUNHA SOUZA,88355231243,cliente079@email.com.br,M,1967-10-13,2023-05-18
80,BRUNO OLIVEIRA FERREIRA,77997995527,cliente080@email.com.br,M,1963-01-23,2022-08-18
81,MARIANA GOMES LIMA,90581477005,cliente081@email.com.br,F,1997-04-22,2021-08-10
82,GUSTAVO OLIVEIRA RAMOS,98679807935,cliente082@email.com.br,M,1987-02-20,2022-09-01
83,CARLOS ARAUJO SOUZA,51820377889,cliente083@email.com.br,M,1967-02-13,2022-01-15
84,VANESSA GOMES MARTINS,65905151864,cliente084@email.com.br,F,1971-04-21,2023-09-06
85,RAFAEL OLIVEIRA MOURA,25462914865,cliente085@email.com.br,M,1996-06-23,2020-09-18
86,GUSTAVO CARVALHO CUNHA,50542357332,cliente086@email.com.br,M,1966-12-13,2020-06-07
87,NATALIA SOUZA CUNHA,88059296222,cliente087@email.com.br,F,1997-04-16,2023-11-19
88,THIAGO ARAUJO SANTOS,65379473834,cliente088@email.com.br,M,1996-04-09,2022-08-18
89,RAFAEL MOURA ARAUJO,74688623924,cliente089@email.com.br,M,1962-05-04,2023-08-06
90,NATALIA RIBEIRO DIAS,18141247826,cliente090@email.com.br,F,1964-02-11,2021-03-30
91,VANESSA RIBEIRO SILVA,60685361530,cliente091@email.com.br,F,1974-04-18,2020-07-21
92,LARISSA RODRIGUES RODRIGUES,04727790104,cliente092@email.com.br,F,1969-09-03,2020-11-02
93,MARIA GOMES PEREIRA,41036971179,cliente093@email.com.br,F,1984-01-17,2020-02-03
94,THIAGO RODRIGUES GOMES,60953962185,cliente094@email.com.br,M,1963-01-13,2022-12-13
95,FELIPE BARBOSA SANTOS,65405153195,cliente095@email.com.br,M,1965-12-25,2020-03-31
96,LETICIA COSTA FERREIRA,77221704303,cliente096@email.com.br,F,1999-09-25,2020-03-26
97,VANESSA GOMES CUNHA,68740345054,cliente097@email.com.br,F,1965-08-01,2022-01-23
98,VANESSA MARTINS ARAUJO,65277584161,cliente098@email.com.br,F,1979-04-26,2023-05-18
99,ANDERSON GOMES COSTA,11544796275,cliente099@email.com.br,M,1980-01-21,2020-03-27
100,BEATRIZ CARVALHO LIMA,01658202970,cliente100@email.com.br,F,1965-08-30,2020-05-17
